game_id,season,week,season_type,date,neutral_site,conference_game,home_team,away_team,home_conference,away_conference,home_division,away_division,home_points,away_points,spread_home,n_books_spread,ml_home,ml_away,n_books_ml,dog,dog_team,fav_team,dog_conference,fav_conference,dog_line,dog_line_open,dog_spread_price,fav_spread_price,dog_ml,fav_ml,dog_source,dog_margin,dog_rest,fav_rest
401013450,2018,4,regular,2018-09-22,FALSE,FALSE,Liberty,North Texas,FBS Independents,Conference USA,fbs,fbs,7,47,11.0,42,312.0,-385.0,19,home,Liberty,North Texas,FBS Independents,Conference USA,11.0,14.0,-110.0,-110.0,312.0,-385.0,spread,-40.0,14,7
401013451,2018,5,regular,2018-09-29,FALSE,FALSE,New Mexico,Liberty,Mountain West,FBS Independents,fbs,fbs,43,52,-7.0,42,-260.0,215.0,21,away,Liberty,New Mexico,FBS Independents,Mountain West,7.0,7.5,-115.0,-105.0,215.0,-260.0,spread,9.0,7,13
401013452,2018,7,regular,2018-10-13,FALSE,FALSE,Liberty,Troy,FBS Independents,Sun Belt,fbs,fbs,22,16,11.0,42,340.0,-430.0,21,home,Liberty,Troy,FBS Independents,Sun Belt,11.0,11.0,-110.0,-110.0,340.0,-430.0,spread,6.0,6,9
401013453,2018,8,regular,2018-10-20,FALSE,FALSE,Liberty,Idaho State,FBS Independents,Big Sky,fbs,fcs,48,41,-7.0,34,-290.0,240.0,5,away,Idaho State,Liberty,Big Sky,FBS Independents,7.0,7.5,-110.0,-110.0,240.0,-290.0,spread,-7.0,7,7
401013466,2018,5,regular,2018-09-28,FALSE,TRUE,Miami,North Carolina,ACC,ACC,fbs,fbs,47,10,-18.5,42,-974.0,664.0,18,away,North Carolina,Miami,ACC,ACC,18.5,19.5,-110.0,-110.0,664.0,-974.0,spread,-37.0,6,6
401013489,2018,1,regular,2018-08-31,FALSE,FALSE,Oklahoma State,Missouri State,Big 12,MVFC,fbs,fcs,58,17,-45.25,40,-120000.0,40000.0,1,away,Missouri State,Oklahoma State,MVFC,Big 12,45.25,37.5,-110.0,-110.0,40000.0,-120000.0,spread,-41.0,,
401013490,2018,2,regular,2018-09-09,FALSE,FALSE,Oklahoma State,South Alabama,Big 12,Sun Belt,fbs,fbs,55,13,-30.5,42,-11478.3,4500.0,4,away,South Alabama,Oklahoma State,Sun Belt,Big 12,30.5,31.5,-110.0,-110.0,4500.0,-11478.3,spread,-42.0,8,9
401013491,2018,3,regular,2018-09-15,FALSE,FALSE,Oklahoma State,Boise State,Big 12,Mountain West,fbs,fbs,44,21,1.5,42,100.0,-120.0,21,home,Oklahoma State,Boise State,Big 12,Mountain West,1.5,,-110.0,-110.0,100.0,-120.0,spread,23.0,6,6
401014973,2018,1,regular,2018-09-01,FALSE,FALSE,Charlotte,Fordham,Conference USA,Patriot,fbs,fcs,34,10,-16.5,40,-830.0,580.0,7,away,Fordham,Charlotte,Patriot,Conference USA,16.5,,-110.0,-110.0,580.0,-830.0,spread,-24.0,,
401014974,2018,1,regular,2018-09-01,FALSE,FALSE,South Alabama,Louisiana Tech,Sun Belt,Conference USA,fbs,fbs,26,30,10.5,42,325.0,-420.0,21,home,South Alabama,Louisiana Tech,Sun Belt,Conference USA,10.5,10.0,-110.0,-110.0,325.0,-420.0,spread,-4.0,,
401014975,2018,1,regular,2018-09-01,FALSE,FALSE,Miami (OH),Marshall,Mid-American,Conference USA,fbs,fbs,28,35,-1.0,42,-120.0,100.0,21,away,Marshall,Miami (OH),Conference USA,Mid-American,1.0,2.0,-110.0,-110.0,100.0,-120.0,spread,7.0,,
401014976,2018,1,regular,2018-09-01,FALSE,FALSE,North Texas,SMU,Conference USA,American Athletic,fbs,fbs,46,23,-3.0,42,-162.0,140.0,21,away,SMU,North Texas,American Athletic,Conference USA,3.0,3.5,-110.0,-110.0,140.0,-162.0,spread,-23.0,,
401014977,2018,1,regular,2018-09-01,FALSE,FALSE,Rice,Houston,Conference USA,American Athletic,fbs,fbs,27,45,25.5,42,1465.0,-2896.6,12,home,Rice,Houston,Conference USA,American Athletic,25.5,21.0,-110.0,-110.0,1465.0,-2896.6,spread,-18.0,7,
401014978,2018,1,regular,2018-09-01,FALSE,FALSE,Southern Miss,Jackson State,Conference USA,SWAC,fbs,fcs,55,7,-33.0,26,-17000.0,6625.0,1,away,Jackson State,Southern Miss,SWAC,Conference USA,33.0,35.5,-110.0,-110.0,6625.0,-17000.0,spread,-48.0,,
401014979,2018,1,regular,2018-08-31,TRUE,FALSE,UAB,Savannah St,Conference USA,MEAC,fbs,fcs,52,0,-38.5,20,,9500.0,0,away,Savannah St,UAB,MEAC,Conference USA,38.5,35.0,-110.0,,9500.0,,spread,-52.0,,
401014980,2018,1,regular,2018-09-01,FALSE,FALSE,UTEP,Northern Arizona,Conference USA,Big Sky,fbs,fcs,10,30,7.0,40,225.0,-275.0,6,home,UTEP,Northern Arizona,Conference USA,Big Sky,7.0,7.5,-110.0,-110.0,225.0,-275.0,spread,-20.0,,
401014981,2018,2,regular,2018-09-08,FALSE,FALSE,Charlotte,App State,Conference USA,Sun Belt,fbs,fbs,9,45,15.0,42,492.0,-650.0,19,home,Charlotte,App State,Conference USA,Sun Belt,15.0,14.0,-110.0,-110.0,492.0,-650.0,spread,-36.0,7,7
